QKEY,COVIDMISINFO_W63.5,COVIDCREATE_W63.5,F_PARTYSUM_FINAL,F_IDEO,F_AGECAT,F_EDUCCAT,WEIGHT_W63.5
282770.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,0.6933105294642256
283820.0,None at all,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,1.0222931702598899
283850.0,A lot,Came about naturally,DK/Refused/No lean,Very conservative,50-64,Some College,1.3554542691565838
283898.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,0.43945065001309364
283988.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.5697442350927874
284304.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,0.3515384967079613
284378.0,Not much,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.2547848262475639
285174.0,Some,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.7424264215846899
285723.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,1.262948141174761
285944.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.35202299616376354
285953.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.18938145248444568
286082.0,Some,Not sure,Rep/Lean Rep,Moderate,30-49,H.S. graduate or less,1.7819725950534568
286168.0,Not much,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,2.1609375037906613
286197.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.32127104808653617
286551.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,65+,Some College,0.5842854574937026
286663.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,0.9958107934437891
287086.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.7281094442838446
287097.0,Not much,Came about naturally,Dem/Lean Dem,Conservative,50-64,College graduate+,0.7414053512445121
287366.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,Some College,0.5791428258595545
287463.0,Some,Was made accidentally in a lab,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.5214392925423408
288489.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,65+,College graduate+,0.322261998860181
288869.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,0.884522665575274
289200.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,30-49,H.S. graduate or less,1.5420744335227603
289390.0,None at all,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,30-49,Some College,0.527770579490073
289477.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.733262000002952
289868.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,1.046360314443209
290087.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,30-49,College graduate+,1.3224395974745655
291033.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.49712288330504906
291097.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.6556272442174347
291347.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.3206291340585848
291504.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,1.1907373753454509
291673.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.31700773711954594
291696.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.18930857569764087
292724.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.27528040554863553
292740.0,Not much,Not sure,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,1.047177274393529
292854.0,None at all,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.2559752922890272
292971.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,30-49,College graduate+,0.6241644451118102
293111.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,Some College,0.575259486340905
293203.0,Some,Refused,Rep/Lean Rep,Liberal,30-49,H.S. graduate or less,0.7440723762154791
294309.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.4131645737149005
294815.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,Some College,0.5848902857750223
294912.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.43780644430439836
295593.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,50-64,Some College,0.8728240632307182
295709.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,50-64,College graduate+,0.5332771675780409
295809.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Conservative,30-49,Some College,0.6549057641279313
295841.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.35003271042068657
295961.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3861845373601605
296062.0,None at all,Not sure,Dem/Lean Dem,Liberal,65+,Some College,0.7966073411826121
296850.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3547698801388691
296984.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.504547954415067
297473.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,30-49,Some College,0.7223449849830279
297554.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,30-49,College graduate+,0.5014905786913231
297941.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.4118632994549787
297972.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.31700773711954594
298035.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.575242611489201
298053.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,1.0973623515438156
298382.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.3590266223903537
298574.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.31700773711954594
298722.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,H.S. graduate or less,1.8141875379340087
299167.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.18930857569764087
299327.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,0.3613555868673831
299517.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3631146217736896
299519.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,Some College,1.0279385382716288
299715.0,Not much,Not sure,Rep/Lean Rep,Very liberal,50-64,H.S. graduate or less,2.371694340761707
300207.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.6413499780877429
300234.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,65+,Some College,1.1910849790118874
300536.0,A lot,Not sure,Dem/Lean Dem,Very conservative,30-49,H.S. graduate or less,1.9245444358179038
300603.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,Some College,0.8671296685880048
300619.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,Some College,0.884522665575274
300660.0,Some,Not sure,Rep/Lean Rep,Moderate,65+,College graduate+,1.0356267595331767
300669.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.31700773711954594
300761.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.5096297870859479
300955.0,Some,Not sure,Dem/Lean Dem,Very liberal,65+,College graduate+,0.31700773711954594
301013.0,Some,Not sure,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,2.156150599071779
301082.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.4094636195140061
301126.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.21434573153990272
301280.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Very conservative,30-49,Some College,0.752201235582358
301613.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Very liberal,50-64,Some College,0.23421344886813583
301706.0,Not much,Came about naturally,DK/Refused/No lean,Conservative,65+,College graduate+,0.21869081012990108
302362.0,None at all,Came about naturally,Rep/Lean Rep,Liberal,50-64,College graduate+,1.1720302000931735
302389.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,2.597207472836589
302693.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,Some College,0.754905525400222
302888.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Moderate,30-49,Some College,0.7570861039611948
302919.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,Some College,1.1230985543216798
303072.0,None at all,Not sure,Rep/Lean Rep,Refused,65+,H.S. graduate or less,4.740405604226812
303338.0,Not much,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,6.609366105545287
303648.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.9172670648765758
303653.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.36364165075548666
304119.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.44661595831531015
305076.0,Some,Not sure,Dem/Lean Dem,Liberal,30-49,College graduate+,1.1104031436931456
305120.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.35631151696197294
305844.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.6987776758675408
306076.0,None at all,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.3747225306669816
306115.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.319101043048415
306151.0,None at all,Not sure,Dem/Lean Dem,Moderate,65+,Some College,0.48050147343762967
306192.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.5037805583145222
306295.0,A lot,Not sure,Rep/Lean Rep,Conservative,65+,Some College,0.3680375095367558
306597.0,Not much,Not sure,Rep/Lean Rep,Moderate,50-64,Some College,1.6057702257540185
307284.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,1.2874533892713067
307317.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.2777265934065198
307537.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,H.S. graduate or less,1.2307652361826464
307606.0,None at all,Came about naturally,Dem/Lean Dem,Conservative,30-49,Some College,1.0712336271848564
307885.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Liberal,50-64,Some College,0.2291415869640592
308799.0,Some,Not sure,Rep/Lean Rep,Very conservative,65+,College graduate+,0.9468114211768255
308926.0,Some,Not sure,Rep/Lean Rep,Moderate,50-64,College graduate+,0.3845194120995435
309053.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,18-29,College graduate+,1.6743782348828804
309533.0,A lot,Was made accidentally in a lab,Rep/Lean Rep,Moderate,50-64,College graduate+,0.25324416642659153
309958.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.2590863573469312
310031.0,A lot,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.9130899765151743
310104.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.9624100156177311
310985.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,1.1881345080123378
311119.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.24960377457431507
311643.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.89111140840927
311665.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.28067968514975083
312217.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.5096297870859479
312362.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.7414053512445121
312371.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.7404250531134534
312458.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,1.9547117844297401
312934.0,None at all,Not sure,Dem/Lean Dem,Liberal,50-64,Some College,0.23421344886813583
313378.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.6567529151301014
314062.0,A lot,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.2894571578606051
314113.0,Some,Not sure,Dem/Lean Dem,Very liberal,65+,H.S. graduate or less,2.0421023603619903
314294.0,Some,Was made accidentally in a lab,Dem/Lean Dem,Moderate,65+,College graduate+,0.37995031658406214
314670.0,Some,Came about naturally,Rep/Lean Rep,Moderate,65+,Some College,0.5133480775464817
314796.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.5548564996706745
314835.0,A lot,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.9624100156177311
315155.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.37257794196631094
315188.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,30-49,College graduate+,0.6281830345909123
315194.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,1.3983511629046745
315474.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,Some College,1.5181297972733223
315539.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.8677991300746993
315670.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.49989555637145694
316726.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.2601583936831742
317442.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.2237721680863777
317610.0,A lot,Came about naturally,Dem/Lean Dem,Liberal,50-64,Some College,0.6933105294642256
317737.0,Not much,Not sure,Rep/Lean Rep,Moderate,65+,Some College,1.5229875486787634
317781.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.4980542188736745
318188.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.24960377457431507
318269.0,None at all,Not sure,Rep/Lean Rep,Moderate,65+,H.S. graduate or less,2.750428705612171
318333.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.2228900847276511
318542.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.6567529151301014
318653.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3547698801388691
318658.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.31700773711954594
318742.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,0.9089064097213434
318997.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.18930857569764087
319055.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,0.36972463518470505
319382.0,None at all,Was made accidentally in a lab,Dem/Lean Dem,Moderate,50-64,Some College,0.6933105294642256
319402.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,50-64,H.S. graduate or less,2.0948655953414
319896.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.4980542188736745
320679.0,None at all,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.37257794196631094
320721.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,Some College,0.5128964632978182
320909.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.314211276057715
321025.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,2.5261792149779696
321458.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.28067968514975083
321582.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,Some College,0.36646719110762077
321697.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,65+,Some College,1.4006546171055858
321860.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.2228900847276511
321873.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.23078620749798037
322035.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.37995031658406214
322241.0,Not much,Was made accidentally in a lab,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,1.5423679287027467
322957.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,College graduate+,0.3539956754611129
323087.0,Some,Not sure,Rep/Lean Rep,Very conservative,65+,College graduate+,1.558600472045668
323222.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.21372520590383698
323398.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.28067968514975083
323454.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.3551661769493011
323456.0,Not much,Was made accidentally in a lab,Dem/Lean Dem,Moderate,65+,Some College,0.9172670648765758
323595.0,None at all,Came about naturally,Rep/Lean Rep,Moderate,50-64,H.S. graduate or less,2.3756641630163644
323647.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.2228900847276511
323743.0,A lot,Not sure,Rep/Lean Rep,Conservative,30-49,College graduate+,0.9377946352126031
323770.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,2.6546695041831705
323885.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2911490457684703
324127.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3946917124692121
324600.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,0.9349476995973716
324808.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.4382791325939977
324837.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.2652446483400635
324919.0,A lot,Came about naturally,Rep/Lean Rep,Very conservative,65+,Some College,0.37830171774990956
324920.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,30-49,College graduate+,0.443633134753424
324930.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,30-49,College graduate+,0.9767976751356503
325708.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,18-29,College graduate+,0.3566962885931554
326182.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.7092400878500541
326698.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.317264943657635
326974.0,None at all,Not sure,Dem/Lean Dem,Very conservative,30-49,Some College,1.2008383858447433
327074.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.36364165075548666
327079.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,Some College,0.4804655580301252
327082.0,Some,Not sure,Dem/Lean Dem,Very liberal,65+,College graduate+,0.731697566812459
327538.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,Some College,0.5592064421004076
327776.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.7145672720788504
328024.0,Some,Not sure,Rep/Lean Rep,Very conservative,65+,College graduate+,0.21434573153990272
328603.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,0.8393180069283974
328696.0,None at all,Not sure,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,1.224557688306617
329336.0,None at all,Was made accidentally in a lab,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.40425405977070034
329404.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.22748396859865705
329545.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,65+,Some College,1.0039170545609695
329699.0,Not much,Came about naturally,Dem/Lean Dem,Conservative,50-64,College graduate+,0.23078620749798037
329777.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,3.033639965428159
329841.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,0.4356961570922263
329922.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,30-49,College graduate+,0.5697442350927874
330324.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,0.4566456737534671
330965.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.5174617346639645
330983.0,Not much,Not sure,DK/Refused/No lean,Moderate,50-64,Some College,1.5701480323262704
331115.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.5052504561221298
332473.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.18930857569764087
332823.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.5466726303848976
333056.0,None at all,Not sure,Dem/Lean Dem,Moderate,50-64,Some College,0.17219369378689645
333286.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.27472252543231557
333397.0,Not much,Not sure,Rep/Lean Rep,Very conservative,65+,Some College,0.43934491567287387
333476.0,None at all,Not sure,Dem/Lean Dem,Conservative,30-49,Some College,0.6110596605027527
334397.0,Some,Not sure,Dem/Lean Dem,Liberal,65+,Some College,0.27764055836658447
334486.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.561078032636311
334917.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.31464766480580686
335417.0,A lot,Doesn’t really exist,Rep/Lean Rep,Conservative,50-64,Some College,0.8641334764779848
335826.0,Some,Was made accidentally in a lab,Dem/Lean Dem,Moderate,50-64,College graduate+,0.49027162480272884
335943.0,Not much,Not sure,Dem/Lean Dem,Very liberal,65+,Some College,0.7356999594242559
336285.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.3845194120995435
336522.0,Some,Not sure,Dem/Lean Dem,Liberal,65+,Some College,0.5501445714967962
337437.0,None at all,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.5154623024803774
337845.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.36364165075548666
337896.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.9172670648765758
339176.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,College graduate+,0.5046752744340405
339183.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,1.428124134137908
339511.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.18828706516701513
339573.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,H.S. graduate or less,1.5503224615370597
340705.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,0.45518808978161196
340808.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.32127104808653617
341094.0,Some,Came about naturally,Rep/Lean Rep,Conservative,30-49,College graduate+,0.47683680314419524
341801.0,Not much,Refused,Dem/Lean Dem,Moderate,65+,Some College,0.9779979339620597
341818.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.16658774135557186
342227.0,Not much,Came about naturally,Rep/Lean Rep,Very conservative,65+,Some College,0.37830171774990956
342968.0,Some,Not sure,DK/Refused/No lean,Refused,30-49,H.S. graduate or less,1.579615533755957
343831.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.24960377457431507
344794.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.2559752922890272
345438.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3715692800329092
345636.0,Refused,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,Some College,1.7308441128542953
347425.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.23359281034089427
348665.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2326032419849029
351329.0,None at all,Not sure,Dem/Lean Dem,Moderate,65+,College graduate+,0.7229228411168078
600059.0,Some,Not sure,Rep/Lean Rep,Conservative,50-64,Some College,1.1990814456641152
600087.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,College graduate+,0.23078620749798037
600096.0,A lot,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.6323267760894709
600116.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,0.7529211102512751
600304.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.5179961437773855
600312.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Very liberal,50-64,H.S. graduate or less,1.3620761937036907
600325.0,None at all,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,30-49,College graduate+,0.568235401618726
600689.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Very conservative,50-64,College graduate+,0.36032953440962434
600794.0,Some,Not sure,Rep/Lean Rep,Moderate,50-64,Some College,1.1175929328538927
600822.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Conservative,30-49,College graduate+,0.9784556986163196
600905.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,Some College,0.5376130265052781
601265.0,Not much,Not sure,Rep/Lean Rep,Very conservative,65+,Some College,0.4207792446971104
601359.0,Some,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.3452916425491792
601394.0,Some,Came about naturally,Rep/Lean Rep,Moderate,18-29,Some College,7.487621221765812
601493.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,30-49,Some College,0.5395213749786415
601648.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,Some College,1.2233230930744419
601754.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,30-49,Some College,0.5520723630190001
602360.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,30-49,College graduate+,0.744286116852345
602455.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,1.3983511629046745
602725.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.27472252543231557
602745.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.24960377457431507
602921.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.2777265934065198
603000.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,H.S. graduate or less,1.8470674719387365
603100.0,None at all,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.36400315984732107
603410.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.2751798570797386
603460.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,College graduate+,0.16877671577660544
603476.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,50-64,Some College,0.881566368834353
603552.0,Some,Not sure,Rep/Lean Rep,Very conservative,50-64,Some College,2.6018292037841086
603590.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,18-29,Some College,1.3157182093104025
603607.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,Some College,0.34730606684096804
603636.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.28330752853283125
603718.0,A lot,Was made accidentally in a lab,Dem/Lean Dem,Moderate,50-64,Some College,0.6110596605027527
603769.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,1.0265237122495123
604010.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.16877671577660544
604068.0,Some,Came about naturally,Dem/Lean Dem,Moderate,30-49,Some College,1.470886358694407
604188.0,Some,Doesn’t really exist,DK/Refused/No lean,Moderate,65+,Some College,1.4064345000481457
604534.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,18-29,College graduate+,0.6411083318180221
